ID,Name,SMILES,target_variable
97,Acid Red 114,CC1=CC=C(C=C1)S(=O)(=O)OC1=CC=C(C=C1)\N=N\C1=CC=C(C=C1C)C1=CC(C)=C(C=C1)\N=N\C1=C(O)C=CC2=C1C(=CC(=C2)S(O)(=O)=O)S(O)(=O)=O,3.0
98,Acid Red 115,CC1=CC(=CC=C1\N=N\C1=C(O)C(=CC2=C1C=CC(=C2)S(O)(=O)=O)S(O)(=O)=O)\N=N\C1=C(C)C=CC=C1,4.5
99,Acid Red 116,OC1=C(C=C(C2=C1C=CC=C2)S(O)(=O)=O)\N=N\C1=CC=C(C=C1)\N=N\C1=CC=CC=C1,4.0
100,Acid Red 118,CCN(C1=CC=CC=C1)S(=O)(=O)C1=CC(=CC=C1C)\N=N\C1=C(N)C=CC2=C1C(O)=CC(=C2)S(O)(=O)=O,5.5
101,Acid Red 119,CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=C(C=C1)\N=N\C1=CC=C(\N=N\C2=CC=CC(=C2)S(O)(=O)=O)C2=C1C=CC=C2,5.5
102,Acid Red 122,OC1=C(C=C(C2=CC=CC=C12)S(O)(=O)=O)\N=N\C1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(C=C1)\N=N\C1=CC(=C2C=CC=CC2=C1O)S(O)(=O)=O,5.0
103,Acid Red 128,COC1=CC(=CC=C1\N=N\C1=C(O)C=CC2=C1C(=CC(=C2)S(O)(=O)=O)S(O)(=O)=O)C1=CC(OC)=C(C=C1)\N=N\C1=CC=C(C=C1)C(=O)S(=O)(=O)C1=CC=C(C)C=C1,5.0
104,Acid Red 133,CCN(C(=O)C1=CC=C(C=C1)\N=N\C1=C(O)C2=C(C=C1S(O)(=O)=O)C(=CC=C2NC(=O)C1=CC=CC=C1)S(O)(=O)=O)C1=CC=CC2=C1C=CC=C2,4.5
105,Acid Red 134,COC1=CC(=CC=C1\N=N\C1=C(O)C2=C(C=CC(O)=C2)C=C1S(O)(=O)=O)C1(CCCCC1)C1=CC(OC)=C(C=C1)\N=N\C1=C(O)C2=C(C=CC(O)=C2)C=C1S(O)(=O)=O,4.5
106,Acid Red 135,CC1=CC=C(\N=N\C2=C(O)C3=C(C=CC=C3)C(=C2)S(O)(=O)=O)C(C)=C1,3.0
108,Acid Red 138,CCCCCCCCCCCCC1=CC=C(C=C1)\N=N\C1=C(O)C2=C(C=C(C=C2NC(C)=O)S(O)(=O)=O)C=C1S(O)(=O)=O,3.5
109,Acid Red 141,OC1=C(\N=N\C2=CC=CC3=C2C=CC=C3S(O)(=O)=O)C2=C(C=CC=C2)C=C1,2.5
110,Acid Red 142,OC1=C(\N=N\C2=CC=C(C=C2)\N=N\C2=CC=C(C=C2)S(O)(=O)=O)C2=C(C=C1)C=C(C=C2)S(O)(=O)=O,4.0
111,Acid Red 144,OC1=C(\N=N\C2=CC=C(C3=CC=C(C=C3S(O)(=O)=O)\N=N\C3=C(O)C(=CC4=C3C=CC=C4)C(=O)NC3=CC=CC=C3)C(=C2)S(O)(=O)=O)C2=C(C=CC=C2)C=C1C(=O)NC1=CC=CC=C1,5.0
112,Acid Red 145,CC1=CC=C(C=C1)S(=O)(=O)OC1=CC=C(C=C1)\N=N\C1=CC(=C(C=C1C)C1=CC(C)=C(C=C1S(O)(=O)=O)\N=N\C1=C(O)C2=C(C=CC=C2)C(=C1)S(O)(=O)=O)S(O)(=O)=O,5.0
114,Acid Red 151,OC1=C(\N=N\C2=CC=C(C=C2)\N=N\C2=CC=C(C=C2)S(O)(=O)=O)C2=C(C=CC=C2)C=C1,4.0
115,Acid Red 152,OC1=C(\N=N\C2=CC(Cl)=C(C=C2)C2=CC=C(C=C2Cl)\N=N\C2=C(O)C(=CC3=C2C=CC(=C3)S(O)(=O)=O)S(O)(=O)=O)C2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,4.0
116,Acid Red 154,CC1=CC(=CC=C1\N=N\C1=C(C=C2C=CC(O)=CC2=C1O)S(O)(=O)=O)C1(CCCCC1)C1=CC(C)=C(C=C1)\N=N\C1=C(O)C2=C(C=CC(O)=C2)C=C1S(O)(=O)=O,5.5
117,Acid Red 155,CC1=CC=C(C=C1)S(=O)(=O)NC1=CC(=CC2=C1C(O)=C(\N=N\C1=CC=C(C=C1C)C1CCCCC1)C(=C2)S(O)(=O)=O)S(O)(=O)=O,4.0
118,Acid Red 157,CC(=O)N(C1CCCCC1)C1=CC=C(C=C1)\N=N\C1=C(O)C2=C(C=C1S(O)(=O)=O)C(=CC=C2NC(=O)C1=CC=CC=C1)S(O)(=O)=O,5.0
119,Acid Red 158,CC1=CC=C(C=C1)\N=N\C1=C(O)C=CC2=CC=C(C=C12)S(=O)(=O)NC1=CC=C(C2=CC(=C(\N=N\C3=CC=C(C)C=C3)C(O)=C12)S(O)(=O)=O)S(O)(=O)=O,4.0
120,Acid Red 160,CC(C)OC1=CC=C(C=C1\N=N\C1=C(O)C2=C(NS(=O)(=O)C3=CC(C)=C(Cl)C=C3C)C=C(C=C2C=C1S(O)(=O)=O)S(O)(=O)=O)C(C)(C)CC(C)(C)C,4.5
121,Acid Red 161,OC1=C(\N=N\C2=CC=C(C=C2)C2CCCCC2)C(=CC2=C(C=CC(NC(=O)C3=CC(Cl)=CC=C3Cl)=C12)S(O)(=O)=O)S(O)(=O)=O,4.5
122,Acid Red 163,OC1=CC2=C(C=C1)C=C(C(\N=N\C1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(C=C1)\N=N\C1=C(O)C3=C(C=CC(OS(=O)(=O)C4=CC=CC=C4)=C3)C=C1S(O)(=O)=O)=C2O)S(O)(=O)=O,5.0
123,Acid Red 172,CC1=CC=C(C=C1)S(=O)(=O)NC1=CC(=CC2=C1C(O)=C(\N=N\C1=CC(Cl)=CC=C1OCC1=CC=CC=C1)C(=C2)S(O)(=O)=O)S(O)(=O)=O,4.5
124,Acid Red 173,CC1=CC(=CC=C1C1=C(C)C=C(C=C1)\N=N\C1=C(O)C=CC2=C1C=CC(=C2)S(O)(=O)=O)\N=N\C1=C(O)C=CC2=C1C=CC(=C2)S(O)(=O)=O,4.0
125,Acid Red 176,OC1=CC(=CC2=C1C(O)=C(\N=N\C1=CC=C(C=C1)[N+]([O-])=O)C(=C2)S(O)(=O)=O)S(O)(=O)=O,6.5
126,Acid Red 266,NC1=C(\N=N\C2=C(C=C(Cl)C=C2)C(F)(F)F)C2=C(C=C1)C=C(C=C2O)S(O)(=O)=O,6.0
127,Acid Red 299,OCCN(CCO)C1=CC=C(C=C1)\N=N\C1=C2C=CC=CC2=C(C=C1)\N=N\C1=CC=CC(=C1)S(O)(=O)=O,5.5
128,Acid Green 20,NC1=CC=C(C=C1)\N=N\C1=C(N)C2=C(C=C1S(O)(=O)=O)C=C(C(\N=N\C1=CC=CC=C1)=C2O)S(O)(=O)=O,3.5
129,Acid Green 35,OC1=C(C=C(C=C1\N=N\C1=CC2=C(C=C1)C(=CC=C2[N+]([O-])=O)S(O)(=O)=O)[N+]([O-])=O)[N+]([O-])=O,5.5
130,Acid Violet 1,NC1=C(\N=N\C2=CC=C(C=C2S(O)(=O)=O)[N+]([O-])=O)C2=C(C=C1)C=C(C=C2O)S(O)(=O)=O,4.5
131,Acid Violet 3,NC1=CC=C(C=C1)\N=N\C1=C(O)C2=C(C=C(C=C2O)S(O)(=O)=O)C=C1S(O)(=O)=O,2.0
132,Acid Violet 5,CC(=O)NC1=CC=C(C=C1)\N=N\C1=C(O)C2=C(C=C(C=C2NS(=O)(=O)C2=CC=C(C)C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,4.0
133,Acid Violet 6,CC(=O)NC1=CC=C(C=C1)\N=N\C1=C(O)C2=C(C=C(C=C2O)S(O)(=O)=O)C=C1S(O)(=O)=O,4.0
134,Acid Violet 7,CC(=O)NC1=CC=C(C=C1)\N=N\C1=C(O)C2=C(C=C(C=C2NC(C)=O)S(O)(=O)=O)C=C1S(O)(=O)=O,4.0
135,Acid Violet 11,CCN(C1=CC=CC=C1)S(=O)(=O)C1=CC(N)=CC=C1\N=N\C1=C(N)C=CC2=C1C(O)=CC(=C2)S(O)(=O)=O,5.0
136,Acid Violet 12,COC1=C(C=CC=C1)\N=N\C1=C(O)C2=C(C=C(C=C2NC(C)=O)S(O)(=O)=O)C=C1S(O)(=O)=O,4.0
137,Acid Violet 13,OC1=CC(=CC2=C1C(O)=C(\N=N\C1=CC=CC3=C1C=CC=C3)C(=C2)S(O)(=O)=O)S(O)(=O)=O,4.0
138,Acid Violet 14,CC(=O)NC1=CC=C(\N=N\C2=C(N)C=CC3=C2C(O)=CC(=C3)S(O)(=O)=O)C(=C1)S(=O)(=O)C1=CC=C(C)C=C1,6.0
139,Acid Blue 29,NC1=C(\N=N\C2=CC(=CC=C2)[N+]([O-])=O)C(=CC2=C1C(O)=C(\N=N\C1=CC=CC=C1)C(=C2)S(O)(=O)=O)S(O)(=O)=O,6.0
140,Acid Blue 89,CC1=CC=C(NC2=CC=C(\N=N\C3=CC(=CC4=C3C(O)=CC(=C4)S(O)(=O)=O)S(O)(=O)=O)C3=C2C(=CC=C3)S(O)(=O)=O)C=C1,5.0
141,Acid Blue 92,OC1=CC(=CC2=C1C(=CC(=C2)S(O)(=O)=O)\N=N\C1=CC=C(NC2=CC=CC=C2)C2=C1C=CC=C2S(O)(=O)=O)S(O)(=O)=O,5.0
142,Acid Blue 113,OS(=O)(=O)C1=CC=CC(=C1)\N=N\C1=CC=C(\N=N\C2=CC=C(NC3=CC=CC=C3)C3=C2C=CC=C3S(O)(=O)=O)C2=C1C=CC=C2,5.0
143,Acid Blue 116,OS(=O)(=O)C1=CC2=C(C=C1)C(=CC=C2\N=N\C1=CC=C(NC2=CC=CC=C2)C2=C1C=CC=C2S(O)(=O)=O)\N=N\C1=CC=CC=C1,5.0
144,Acid Blue 117,CCN(C1=CC=CC=C1)S(=O)(=O)C1=CC(=CC=C1\N=N\C1=C(N)C=CC2=C1C(O)=CC(=C2)S(O)(=O)=O)[N+]([O-])=O,5.0
145,Acid Blue 118,CC1=CC=C(NC2=CC=C(\N=N\C3=CC=C(\N=N\C4=CC=CC=C4)C4=C3C=C(C=C4)S(O)(=O)=O)C3=C2C(=CC=C3)S(O)(=O)=O)C=C1,5.0
146,Acid Brown 2,COC1=C(C=C(C=C1)[N+]([O-])=O)\N=N\C1=C(O)C2=C(C=CC(NC3=CC=CC=C3)=C2)C=C1S(O)(=O)=O,5.5
147,Acid Brown 14,OC1=C(\N=N\C2=CC=C(C3=C2C=CC=C3)S(O)(=O)=O)C(O)=C(C=C1)\N=N\C1=CC=C(C2=C1C=CC=C2)S(O)(=O)=O,3.0
148,Acid Brown 20,CCN(C(C)=O)C1=CC(\N=N\C2=C(O)C3=C(C=CC(NC4=CC=C(OC)C=C4)=C3)C=C2S(O)(=O)=O)=C(C)C=C1,4.0
149,Acid Black 16,NC1=C2C(O)=C(C=CC2=C(C=C1\N=N\C1=CC=C(C=C1)S(O)(=O)=O)S(O)(=O)=O)\N=N\C1=CC=C(C=C1)[N+]([O-])=O,6.0
150,Acid Black 18,NC1=CC=C(C2=C1C(O)=C(\N=N\C1=CC=C(\N=N\C3=CC=C(C=C3)S(O)(=O)=O)C3=C1C=CC=C3)C(=C2)S(O)(=O)=O)S(O)(=O)=O,6.5
151,Acid Black 24,OS(=O)(=O)C1=CC=CC2=C1C=CC=C2\N=N\C1=CC=C(\N=N\C2=CC=C(NC3=CC=CC=C3)C3=C2C=CC=C3S(O)(=O)=O)C2=C1C=CC=C2,6.0
